imagem,percentual,sha256_igual,phash_original,phash_modificado,distancia_hamming
01.png,5,False,c4c62e705bb94b17,c4e737404bb94bb8,14
01.png,10,False,c4c62e705bb94b17,e487254497bb4bb8,20
01.png,20,False,c4c62e705bb94b17,ece12d6ca1e1954e,30
02.png,5,False,ceadb0b887c730b8,cfadb03887c73838,4
02.png,10,False,ceadb0b887c730b8,c76bbc18c3c73838,14
02.png,20,False,ceadb0b887c730b8,c3433e1ee1e1293e,30
03.png,5,False,afe1283e1c1e0f87,aee1383a1e1e0f87,4
03.png,10,False,afe1283e1c1e0f87,a6e8783abe1e0f05,12
03.png,20,False,afe1283e1c1e0f87,e3f87871b41c4ccc,24
04.png,5,False,9fe5b0eac3910786,9f6db8ea81b1a590,12
04.png,10,False,9fe5b0eac3910786,9b6a3cea80faa992,24
04.png,20,False,9fe5b0eac3910786,92693e49f64bb095,32
05.png,5,False,d7d39278b09c3c68,c3d39377b6923051,18
05.png,10,False,d7d39278b09c3c68,c2c22173f7867671,26
05.png,20,False,d7d39278b09c3c68,d4d45a7bcd84cc68,22
06.png,5,False,f1c1c3f8e3e33c08,f9c183fee0e27c08,8
06.png,10,False,f1c1c3f8e3e33c08,b9c0809ce0e2fdfa,20
06.png,20,False,f1c1c3f8e3e33c08,bfc1828993ac9dc5,26
07.png,5,False,d87dc6ea848d7485,f83dc6568cca248f,16
07.png,10,False,d87dc6ea848d7485,fb39c2578aca2c8c,24
07.png,20,False,d87dc6ea848d7485,9b097333d476cc94,32
08.png,5,False,b3fc76e0c2c1d960,b35f2eb040699b69,18
08.png,10,False,b3fc76e0c2c1d960,b21f26b660938b79,24
08.png,20,False,b3fc76e0c2c1d960,b24826ad6d93d656,28
09.png,5,False,c1f817976a09957c,e3f815946e8b951c,10
09.png,10,False,c1f817976a09957c,e27985947e83959c,18
09.png,20,False,c1f817976a09957c,f15992a67ce09e85,28
10.png,5,False,e23171e2016b9e7d,e63171e4096a927f,8
10.png,10,False,e23171e2016b9e7d,e5397ce42bd2305a,26
10.png,20,False,e23171e2016b9e7d,e91a2faa52b644cb,34
11.png,5,False,d849a5b6926bd31a,d849abb6946b9313,8
11.png,10,False,d849a5b6926bd31a,dd4ba09484eab753,18
11.png,20,False,d849a5b6926bd31a,da4ac39c4cecad46,30
12.png,5,False,d1d7c6c69498999c,d153c6c6949c9d99,6
12.png,10,False,d1d7c6c69498999c,b1734746c798989b,16
12.png,20,False,d1d7c6c69498999c,b9794462636e4e63,40
13.png,5,False,9b169b969406cee5,931e9b929c965cc5,10
13.png,10,False,9b169b969406cee5,921ad399b616dac5,16
13.png,20,False,9b169b969406cee5,9536d3f8a906d398,26
14.png,5,False,95ee72c46c9e0633,85ee52cc6c9e661a,8
14.png,10,False,95ee72c46c9e0633,85e652ed7a956298,20
14.png,20,False,95ee72c46c9e0633,8b7791681ce3319d,36
15.png,5,False,fa501eacc3a77268,fa501faec3a3522c,6
15.png,10,False,fa501eacc3a77268,fa512f2ec1a352ac,12
15.png,20,False,fa501eacc3a77268,fdbd030fc8a0339c,30
16.png,5,False,b49656164d49cbba,b4b616164b4bcbb2,6
16.png,10,False,b49656164d49cbba,b5b517374f4a4292,16
16.png,20,False,b49656164d49cbba,acaab5a5294b6d85,30
17.png,5,False,c6197da2b131ec78,c61d7f82b121e578,6
17.png,10,False,c6197da2b131ec78,c60b5e87b1613d59,16
17.png,20,False,c6197da2b131ec78,c71f468753a47172,26
18.png,5,False,eb5a0626d179d92c,e95a0666e0d9d927,10
18.png,10,False,eb5a0626d179d92c,dbd20664e4d8d2f2,22
18.png,20,False,eb5a0626d179d92c,db9307256d4b92a6,24
19.png,5,False,b2a42dd9933bc0f8,92a46dd990539bf8,12
19.png,10,False,b2a42dd9933bc0f8,94ae6dcd30429bf8,22
19.png,20,False,b2a42dd9933bc0f8,b5266ac97d4069d9,28
20.png,5,False,be8e61709f2340b7,bf8f60709f6140b3,6
20.png,10,False,be8e61709f2340b7,9f87607c9f40d4a3,16
20.png,20,False,be8e61709f2340b7,8080709f235ff77a,38
21.png,5,False,9cde73211cd74934,8cde71690cc70bf4,10
21.png,10,False,9cde73211cd74934,8cdc736b1cc11be4,14
21.png,20,False,9cde73211cd74934,8c9673376d9340ec,18
22.png,5,False,94d4cc63733333ac,96decc616331333a,10
22.png,10,False,94d4cc63733333ac,97cfccc8c1717131,24
22.png,20,False,94d4cc63733333ac,a7878ecccdccc948,40
23.png,5,False,c7b6353c39b13a60,c7b7252d29b13e60,6
23.png,10,False,c7b6353c39b13a60,c3a7270f28b99ee0,16
23.png,20,False,c7b6353c39b13a60,c3a16046fb0397fa,30
24.png,5,False,dbfee4c0808386d7,dbfef464c0c18686,10
24.png,10,False,dbfee4c0808386d7,dbbeee7cc0c08464,18
24.png,20,False,dbfee4c0808386d7,919784171b5a5aeb,34
