imagem_a,imagem_b,phash_a,phash_b,distancia_hamming
01.png,02.png,c4c62e705bb94b17,ceadb0b887c730b8,38
01.png,03.png,c4c62e705bb94b17,afe1283e1c1e0f87,28
01.png,04.png,c4c62e705bb94b17,9fe5b0eac3910786,28
01.png,05.png,c4c62e705bb94b17,d7d39278b09c3c68,34
01.png,06.png,c4c62e705bb94b17,f1c1c3f8e3e33c08,34
01.png,07.png,c4c62e705bb94b17,d87dc6ea848d7485,36
01.png,08.png,c4c62e705bb94b17,b3fc76e0c2c1d960,32
01.png,09.png,c4c62e705bb94b17,c1f817976a09957c,34
01.png,10.png,c4c62e705bb94b17,e23171e2016b9e7d,36
01.png,11.png,c4c62e705bb94b17,d849a5b6926bd31a,30
01.png,12.png,c4c62e705bb94b17,d1d7c6c69498999c,30
01.png,13.png,c4c62e705bb94b17,9b169b969406cee5,40
01.png,14.png,c4c62e705bb94b17,95ee72c46c9e0633,28
01.png,15.png,c4c62e705bb94b17,fa501eacc3a77268,34
01.png,16.png,c4c62e705bb94b17,b49656164d49cbba,26
01.png,17.png,c4c62e705bb94b17,c6197da2b131ec78,34
01.png,18.png,c4c62e705bb94b17,eb5a0626d179d92c,28
01.png,19.png,c4c62e705bb94b17,b2a42dd9933bc0f8,30
01.png,20.png,c4c62e705bb94b17,be8e61709f2340b7,24
01.png,21.png,c4c62e705bb94b17,9cde73211cd74934,26
01.png,22.png,c4c62e705bb94b17,94d4cc63733333ac,26
01.png,23.png,c4c62e705bb94b17,c7b6353c39b13a60,26
01.png,24.png,c4c62e705bb94b17,dbfee4c0808386d7,32
02.png,03.png,ceadb0b887c730b8,afe1283e1c1e0f87,34
02.png,04.png,ceadb0b887c730b8,9fe5b0eac3910786,24
02.png,05.png,ceadb0b887c730b8,d7d39278b09c3c68,28
02.png,06.png,ceadb0b887c730b8,f1c1c3f8e3e33c08,26
02.png,07.png,ceadb0b887c730b8,d87dc6ea848d7485,26
02.png,08.png,ceadb0b887c730b8,b3fc76e0c2c1d960,30
02.png,09.png,ceadb0b887c730b8,c1f817976a09957c,36
02.png,10.png,ceadb0b887c730b8,e23171e2016b9e7d,30
02.png,11.png,ceadb0b887c730b8,d849a5b6926bd31a,28
02.png,12.png,ceadb0b887c730b8,d1d7c6c69498999c,36
02.png,13.png,ceadb0b887c730b8,9b169b969406cee5,36
02.png,14.png,ceadb0b887c730b8,95ee72c46c9e0633,34
02.png,15.png,ceadb0b887c730b8,fa501eacc3a77268,26
02.png,16.png,ceadb0b887c730b8,b49656164d49cbba,36
