imagem,sha256_igual,phash_original,phash_modificado,distancia_hamming
01.png,False,c4c62e705bb94b17,91937b251eec1e46,30
02.png,False,ceadb0b887c730b8,9af0e1e5d292646d,32
03.png,False,afe1283e1c1e0f87,fab47d6b484918d2,32
04.png,False,9fe5b0eac3910786,cab0e5bf96c452c2,30
05.png,False,d7d39278b09c3c68,8286c72de5c9693d,32
06.png,False,f1c1c3f8e3e33c08,a49492a9b6b6695d,30
07.png,False,d87dc6ea848d7485,8d2893bfd1f821d2,34
08.png,False,b3fc76e0c2c1d960,e6aa23a796bc8c31,32
09.png,False,c1f817976a09957c,94ad43c33f5cc22d,30
10.png,False,e23171e2016b9e7d,b56424f7541edb28,32
11.png,False,d849a5b6926bd31a,8d1cf0e3c13e864f,32
12.png,False,d1d7c6c69498999c,84869393c9cdcdcd,30
13.png,False,9b169b969406cee5,ce43c6c3c1539bf0,32
14.png,False,95ee72c46c9e0633,c0bb279139cb5366,32
15.png,False,fa501eacc3a77268,af054bf896f20729,30
16.png,False,b49656164d49cbba,e1c307431c1c9eef,30
17.png,False,c6197da2b131ec78,934828f7e464bb2d,32
18.png,False,eb5a0626d179d92c,be0f5373842c8c79,32
19.png,False,b2a42dd9933bc0f8,e7f1788cc66e90a4,30
20.png,False,be8e61709f2340b7,ebda3425c87615e2,32
21.png,False,9cde73211cd74934,d98f267449931c67,28
22.png,False,94d4cc63733333ac,c1899976266666f9,32
23.png,False,c7b6353c39b13a60,92e260696ce46f37,32
24.png,False,dbfee4c0808386d7,8eabb191d596d382,30
