imagem,qualidade,sha256_igual,phash_original,phash_modificado,distancia_hamming
01.png,90,False,c4c62e705bb94b17,c4c62e705bb94b17,0
01.png,65,False,c4c62e705bb94b17,c4c62e705bb94b17,0
01.png,40,False,c4c62e705bb94b17,c4c62e705bb94b17,0
02.png,90,False,ceadb0b887c730b8,ceadb0b887c730b8,0
02.png,65,False,ceadb0b887c730b8,ceadb0b887c730b8,0
02.png,40,False,ceadb0b887c730b8,ceadb0b887c730b8,0
03.png,90,False,afe1283e1c1e0f87,afe1283e1c1e0f87,0
03.png,65,False,afe1283e1c1e0f87,afe1283e1c1e0f87,0
03.png,40,False,afe1283e1c1e0f87,afe1283e1c1e0f87,0
04.png,90,False,9fe5b0eac3910786,9fe5b0eac3910786,0
04.png,65,False,9fe5b0eac3910786,9fe5b0eac3910786,0
04.png,40,False,9fe5b0eac3910786,9fe5b0eac3910786,0
05.png,90,False,d7d39278b09c3c68,d7d39278b09c3c68,0
05.png,65,False,d7d39278b09c3c68,d7d39278b09c3c68,0
05.png,40,False,d7d39278b09c3c68,d7d39378b09c3c48,2
06.png,90,False,f1c1c3f8e3e33c08,f1c1c3f8e3e33c08,0
06.png,65,False,f1c1c3f8e3e33c08,f1c1c3f8e3e33c08,0
06.png,40,False,f1c1c3f8e3e33c08,f1c1c3fce3e23c08,2
07.png,90,False,d87dc6ea848d7485,d87dc6ea848d7485,0
07.png,65,False,d87dc6ea848d7485,d87dc6ea848d7485,0
07.png,40,False,d87dc6ea848d7485,d87dc6ea848d7485,0
08.png,90,False,b3fc76e0c2c1d960,b3fc76e0c2c1d960,0
08.png,65,False,b3fc76e0c2c1d960,b3fc76e0c2c1d960,0
08.png,40,False,b3fc76e0c2c1d960,b3fe76e0c2c19960,2
09.png,90,False,c1f817976a09957c,c1f817976a09957c,0
09.png,65,False,c1f817976a09957c,c1f817976a09957c,0
09.png,40,False,c1f817976a09957c,c1f817976a09957c,0
10.png,90,False,e23171e2016b9e7d,e23171e2016b9e7d,0
10.png,65,False,e23171e2016b9e7d,e23171e2016b9e7d,0
10.png,40,False,e23171e2016b9e7d,e23171e2016b9e7d,0
11.png,90,False,d849a5b6926bd31a,d849a5b6926bd31a,0
11.png,65,False,d849a5b6926bd31a,d849a5b6926bd31a,0
11.png,40,False,d849a5b6926bd31a,d849a5b6926bd31a,0
12.png,90,False,d1d7c6c69498999c,d1d7c6c69498999c,0
12.png,65,False,d1d7c6c69498999c,d1d7c6c69498999c,0
12.png,40,False,d1d7c6c69498999c,d1d7c6c69498999c,0
13.png,90,False,9b169b969406cee5,9b169b969406cee5,0
13.png,65,False,9b169b969406cee5,9b169b969406cee5,0
13.png,40,False,9b169b969406cee5,9b169b969406cee5,0
14.png,90,False,95ee72c46c9e0633,95ee72c46c9e0633,0
14.png,65,False,95ee72c46c9e0633,95ee72c46c9e0633,0
14.png,40,False,95ee72c46c9e0633,95ee72c46c9e0633,0
15.png,90,False,fa501eacc3a77268,fa501eacc3a77268,0
15.png,65,False,fa501eacc3a77268,fa501eacc3a77268,0
15.png,40,False,fa501eacc3a77268,fa501eacc3a77268,0
16.png,90,False,b49656164d49cbba,b49656164d49cbba,0
16.png,65,False,b49656164d49cbba,b496561e4d49cbb2,2
16.png,40,False,b49656164d49cbba,b496561e4d49cbb2,2
17.png,90,False,c6197da2b131ec78,c6197da2b131ec78,0
17.png,65,False,c6197da2b131ec78,c6197da2b131ec78,0
17.png,40,False,c6197da2b131ec78,c6197da2b131ec78,0
18.png,90,False,eb5a0626d179d92c,eb5a0624f179d92c,2
18.png,65,False,eb5a0626d179d92c,eb5a0624f179d92c,2
18.png,40,False,eb5a0626d179d92c,eb5a0624f179d92c,2
19.png,90,False,b2a42dd9933bc0f8,b2a42dd9933bc0f8,0
19.png,65,False,b2a42dd9933bc0f8,b2a42dd9933bc0f8,0
19.png,40,False,b2a42dd9933bc0f8,b2a42dd9933bc0f8,0
20.png,90,False,be8e61709f2340b7,be8e61709f2340b7,0
20.png,65,False,be8e61709f2340b7,be8e61709f2340b7,0
20.png,40,False,be8e61709f2340b7,be8e61709f2340b7,0
21.png,90,False,9cde73211cd74934,9cde73211cd74934,0
21.png,65,False,9cde73211cd74934,9cde73211cd74934,0
21.png,40,False,9cde73211cd74934,9cde73211cd74934,0
22.png,90,False,94d4cc63733333ac,94d4cc63733333ac,0
22.png,65,False,94d4cc63733333ac,94d4cc63733333ac,0
22.png,40,False,94d4cc63733333ac,94d4cc63733333ac,0
23.png,90,False,c7b6353c39b13a60,c7b6353c39b13a60,0
23.png,65,False,c7b6353c39b13a60,c7b6353c39b13a60,0
23.png,40,False,c7b6353c39b13a60,c7b6353c39b13a60,0
24.png,90,False,dbfee4c0808386d7,dbfee4c0808386d7,0
24.png,65,False,dbfee4c0808386d7,dbfee4c0808386d7,0
24.png,40,False,dbfee4c0808386d7,dbfee4c0808386d7,0
