imagem,percentual,sha256_igual,phash_original,phash_modificado,distancia_hamming
01.png,80,False,c4c62e705bb94b17,c4c62e705bb94b17,0
02.png,80,False,ceadb0b887c730b8,ceadb0b887c730b8,0
03.png,80,False,afe1283e1c1e0f87,afe1283e1c1e0f87,0
04.png,80,False,9fe5b0eac3910786,9fe5b0eac3910786,0
05.png,80,False,d7d39278b09c3c68,d7d39278b09c3c68,0
06.png,80,False,f1c1c3f8e3e33c08,f1c1c3f8e3e33c08,0
07.png,80,False,d87dc6ea848d7485,d87dc6ea848d7485,0
08.png,80,False,b3fc76e0c2c1d960,b3fe76e0c2c19960,2
09.png,80,False,c1f817976a09957c,c1f817976a09957c,0
10.png,80,False,e23171e2016b9e7d,e23171e2016b9e7d,0
11.png,80,False,d849a5b6926bd31a,d849a5b6926bd31a,0
12.png,80,False,d1d7c6c69498999c,d1d7c6c69498999c,0
13.png,80,False,9b169b969406cee5,9b169b969406cee5,0
14.png,80,False,95ee72c46c9e0633,95ee72c46c9e0633,0
15.png,80,False,fa501eacc3a77268,fa501eacc3a77268,0
16.png,80,False,b49656164d49cbba,b496561e4d49cbb2,2
17.png,80,False,c6197da2b131ec78,c6197da2b131ec78,0
18.png,80,False,eb5a0626d179d92c,eb5a0624f179d92c,2
19.png,80,False,b2a42dd9933bc0f8,b2a42dd9933bc0f8,0
20.png,80,False,be8e61709f2340b7,be8e61709f2340b7,0
21.png,80,False,9cde73211cd74934,9cde73211cd74934,0
22.png,80,False,94d4cc63733333ac,94d4cc63733333ac,0
23.png,80,False,c7b6353c39b13a60,c7b6353c39b13a60,0
24.png,80,False,dbfee4c0808386d7,dbfee4c0808386d7,0
01.png,120,False,c4c62e705bb94b17,c4c62e705bb94b17,0
02.png,120,False,ceadb0b887c730b8,ceadb0b887c730b8,0
03.png,120,False,afe1283e1c1e0f87,afe1283e1c1e0f87,0
04.png,120,False,9fe5b0eac3910786,9fe5b0eac3910786,0
05.png,120,False,d7d39278b09c3c68,d7d39278b09c3c68,0
06.png,120,False,f1c1c3f8e3e33c08,f1c1c3f8e3e33c08,0
07.png,120,False,d87dc6ea848d7485,d87dc6ea848d7485,0
08.png,120,False,b3fc76e0c2c1d960,b3fe76e0c2c19960,2
09.png,120,False,c1f817976a09957c,c1f817976a09957c,0
10.png,120,False,e23171e2016b9e7d,e23171e2016b9e7d,0
11.png,120,False,d849a5b6926bd31a,d849a5b6926bd31a,0
12.png,120,False,d1d7c6c69498999c,d1d7c6c69498999c,0
13.png,120,False,9b169b969406cee5,9b169b969406cee5,0
14.png,120,False,95ee72c46c9e0633,95ee72c46c9e0633,0
15.png,120,False,fa501eacc3a77268,fa501eacc3a77268,0
16.png,120,False,b49656164d49cbba,b496561e4d49cbb2,2
17.png,120,False,c6197da2b131ec78,c6197da2b121ee78,2
18.png,120,False,eb5a0626d179d92c,eb5a0624f179d92c,2
19.png,120,False,b2a42dd9933bc0f8,b2a42dd9933bc0f8,0
20.png,120,False,be8e61709f2340b7,be8e61709f2340b7,0
21.png,120,False,9cde73211cd74934,9cde73211cd74934,0
22.png,120,False,94d4cc63733333ac,94d4cc63733333ac,0
23.png,120,False,c7b6353c39b13a60,c7b6353c39b13a60,0
24.png,120,False,dbfee4c0808386d7,dbfee4c0808386d7,0
