imagem,angulo,sha256_igual,phash_original,phash_modificado,distancia_hamming
01.png,2,False,c4c62e705bb94b17,c4963e395fb92903,12
01.png,5,False,c4c62e705bb94b17,c4973e297d892d26,20
01.png,10,False,c4c62e705bb94b17,c4973f296c193d64,26
02.png,2,False,ceadb0b887c730b8,c5ad30ba078739b9,10
02.png,5,False,ceadb0b887c730b8,c4b5309a2f8739b9,14
02.png,10,False,ceadb0b887c730b8,c4b531122fb539d9,22
03.png,2,False,afe1283e1c1e0f87,afa1383e1d8a4787,8
03.png,5,False,afe1283e1c1e0f87,85b53d2e158663a7,20
03.png,10,False,afe1283e1c1e0f87,94b53d3e63c4626a,34
04.png,2,False,9fe5b0eac3910786,95f5b0a9c7930687,10
04.png,5,False,9fe5b0eac3910786,95f5709547930e8b,20
04.png,10,False,9fe5b0eac3910786,90de72914f934a3d,32
05.png,2,False,d7d39278b09c3c68,d7d71738101f3c29,12
05.png,5,False,d7d39278b09c3c68,d5d71738100f7c69,14
05.png,10,False,d7d39278b09c3c68,d5971e382c9f6065,20
06.png,2,False,f1c1c3f8e3e33c08,d1d587bc63233c0d,12
06.png,5,False,f1c1c3f8e3e33c08,d1950f3823273e3d,20
06.png,10,False,f1c1c3f8e3e33c08,d1951f30273f3c68,22
07.png,2,False,d87dc6ea848d7485,d03d46aa05ad3737,14
07.png,5,False,d87dc6ea848d7485,d03d07aa25ad3937,18
07.png,10,False,d87dc6ea848d7485,d01d07a23d953977,24
08.png,2,False,b3fc76e0c2c1d960,b3fd7ea24a491d04,14
08.png,5,False,b3fc76e0c2c1d960,91bd7ea34b0f0d06,24
08.png,10,False,b3fc76e0c2c1d960,91bd4ea22d0e2cf6,32
09.png,2,False,c1f817976a09957c,c5fd1e96680d9538,10
09.png,5,False,c1f817976a09957c,c5f51e96682f1730,16
09.png,10,False,c1f817976a09957c,d4f21e97632d1632,18
10.png,2,False,e23171e2016b9e7d,e07573a60d4b8e3c,12
10.png,5,False,e23171e2016b9e7d,c4757a861f4d0e3c,22
10.png,10,False,e23171e2016b9e7d,c4707a871f0d0e3f,24
11.png,2,False,d849a5b6926bd31a,d81da5b6162b3b1a,10
11.png,5,False,d849a5b6926bd31a,d01fa5b5362b2b1a,16
11.png,10,False,d849a5b6926bd31a,c01f6595372569da,26
12.png,2,False,d1d7c6c69498999c,d1d74e8e1c9839b1,12
12.png,5,False,d1d7c6c69498999c,d1df4e8e18913137,18
12.png,10,False,d1d7c6c69498999c,d19f4e1a38b03367,26
13.png,2,False,9b169b969406cee5,931fdb9634266625,12
13.png,5,False,9b169b969406cee5,911f5b9636267625,16
13.png,10,False,9b169b969406cee5,911f4b923636626f,20
14.png,2,False,95ee72c46c9e0633,95ef7a846c1b0723,8
14.png,5,False,95ee72c46c9e0633,95e77a942d1b1721,14
14.png,10,False,95ee72c46c9e0633,95f52b122c3bf264,28
15.png,2,False,fa501eacc3a77268,f8531ead43a3354a,12
15.png,5,False,fa501eacc3a77268,f81f1ea54702355e,22
15.png,10,False,fa501eacc3a77268,e01f1ea307523cfc,28
16.png,2,False,b49656164d49cbba,94961e1e6d2d69b8,12
16.png,5,False,b49656164d49cbba,94951f2a6d6d6938,18
16.png,10,False,b49656164d49cbba,90951f2a6d6c6877,24
17.png,2,False,c6197da2b131ec78,c41f7ca2b131ec78,4
17.png,5,False,c6197da2b131ec78,c41f6aa2b1376cb8,12
17.png,10,False,c6197da2b131ec78,c57e6ba0b1366c85,22
18.png,2,False,eb5a0626d179d92c,c15f0626d079d93e,8
18.png,5,False,eb5a0626d179d92c,c15f0e26f239583e,14
18.png,10,False,eb5a0626d179d92c,c15c2e2752395b3e,16
19.png,2,False,b2a42dd9933bc0f8,90b52dc89b3bc9b1,12
19.png,5,False,b2a42dd9933bc0f8,d0952fc81b3b4db1,18
19.png,10,False,b2a42dd9933bc0f8,d0d62ec81b394db3,22
20.png,2,False,be8e61709f2340b7,9c9d63701f27681e,14
20.png,5,False,be8e61709f2340b7,959527381e27693e,22
20.png,10,False,be8e61709f2340b7,d49527283e27697a,26
21.png,2,False,9cde73211cd74934,949f73271c966931,10
21.png,5,False,9cde73211cd74934,959d732f1c862939,16
21.png,10,False,9cde73211cd74934,9495332e6c963379,24
22.png,2,False,94d4cc63733333ac,9495cd2b7333338c,6
22.png,5,False,94d4cc63733333ac,94954d2b73133f8c,10
22.png,10,False,94d4cc63733333ac,94954d3b231a7ace,18
23.png,2,False,c7b6353c39b13a60,c7b7353c39b13803,6
23.png,5,False,c7b6353c39b13a60,c7b7343c399138c3,8
23.png,10,False,c7b6353c39b13a60,c7b7321830c33ccf,20
24.png,2,False,dbfee4c0808386d7,dbfee48001833f17,10
24.png,5,False,dbfee4c0808386d7,d9fd2401030f3f3e,24
24.png,10,False,dbfee4c0808386d7,d0bd07032f3e3c78,38
